epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,160.488,3.7248,0.01914,0.14833,3.70807,0.000235596,7.8532e-05,0.000235596,7.8532e-05,0.000235596,7.8532e-05,0.000235596,7.8532e-05
2,264.964,3.55777,0.15789,0.33732,3.50901,0.00042671,0.000142237,0.00042671,0.000142237,0.00042671,0.000142237,0.00042671,0.000142237
3,348.992,3.32265,0.25598,0.40431,3.26286,0.0005707,0.000190233,0.0005707,0.000190233,0.0005707,0.000190233,0.0005707,0.000190233
4,426.738,3.07548,0.26555,0.46651,2.88965,0.000501942,0.000167314,0.000501942,0.000167314,0.000501942,0.000167314,0.000501942,0.000167314
5,503.759,2.85987,0.29426,0.55742,2.7541,0.000431256,0.000143752,0.000431256,0.000143752,0.000431256,0.000143752,0.000431256,0.000143752
6,580.055,2.69886,0.3134,0.60766,2.45164,0.00036057,0.00012019,0.00036057,0.00012019,0.00036057,0.00012019,0.00036057,0.00012019
7,658.009,2.60328,0.33493,0.64115,2.54976,0.000289884,9.6628e-05,0.000289884,9.6628e-05,0.000289884,9.6628e-05,0.000289884,9.6628e-05
8,735.995,2.51353,0.36842,0.67703,2.48438,0.000219198,7.3066e-05,0.000219198,7.3066e-05,0.000219198,7.3066e-05,0.000219198,7.3066e-05
9,812.835,2.4591,0.35885,0.6866,2.37448,0.000148512,4.9504e-05,0.000148512,4.9504e-05,0.000148512,4.9504e-05,0.000148512,4.9504e-05
10,888.565,2.43091,0.39234,0.70335,2.30469,7.7826e-05,2.5942e-05,7.7826e-05,2.5942e-05,7.7826e-05,2.5942e-05,7.7826e-05,2.5942e-05
